reference_id,X,Y,Z
(),(mm),(mm),(mm)
-101,-3349.526,-1491.758,3454.17
-102,-3405.894,-1587.835,3460.602
-103,-4074.632,-1225.924,3351.269
-104,-4096.325,-1333.234,3362.572
-105,-3784.665,-1407.649,3023.583
-106,-3660.396,-1455.494,3028.793
-201,-3711.458,-1400.007,3033.108
-202,-3647.22,-2265.453,3532.679
-203,-4372.275,-2001.136,3426.641
-1,-4331.647,-1966.23,3392.371
-2,-4113.876,-1398.749,3341.502
-3,-4070.058,-1288.684,3332.304
-4,-3390.586,-1547.985,3432.981
-5,-3429.384,-1649.655,3440.046
-6,-3652.58,-2230.481,3493.486
-7,-4065.677,-1298.266,3276.681
-8,-3370.433,-1516.378,3371.154
-9,-3553.232,-1354.734,3036.43
-10,-3614.844,-1335.941,3016.499
-11,-3854.471,-1237.874,3052.953
