id 	 idx 	 XYZPosition_0 	 XYZPosition_1 	 XYZPosition_2 	 XPhi 	 XTheta 	 XPsi 	 Order 	 GeometricalHitOrder
1	0	31.6826	-1.64003	30	3.14159	0.785398	3.08987	0	0
1	1	30.8771	-7.28566	27.25	3.14159	0.785398	2.90987	1	1
1	2	29.0739	-12.6958	30	3.14159	0.785398	2.72987	4	4
1	3	26.3312	-17.6958	27.25	3.14159	0.785398	2.54987	5	5
1	4	22.7377	-22.124	30	3.14159	0.785398	2.36987	8	8
1	5	18.4095	-25.8373	27.25	3.14159	0.785398	2.18988	9	9
1	6	13.4865	-28.7157	30	3.14159	0.785398	2.00987	12	12
1	7	8.12762	-30.6662	27.25	3.14159	0.785398	1.82987	13	13
1	8	2.50612	-31.6259	30	3.14159	0.785398	1.64987	16	16
1	9	-3.19632	-31.5636	27.25	3.14159	0.785398	1.46987	17	17
1	10	-8.79568	-30.4813	30	3.14159	0.785398	1.28987	20	20
1	11	-14.1105	-28.4142	27.25	3.14159	0.785398	1.10987	21	21
1	12	-18.9694	-25.4291	30	3.14159	0.785398	0.929877	24	24
1	13	-23.2154	-21.6222	27.25	3.14159	0.785398	0.749881	25	25
1	14	-26.7116	-17.1163	30	3.14159	0.785398	0.569867	28	28
1	15	-29.3443	-12.0577	27.25	3.14159	0.785398	0.389872	29	29
1	16	31.6826	-1.64003	35.5	3.14159	0.785398	3.08987	2	2
1	17	30.8771	-7.28566	32.75	3.14159	0.785398	2.90987	3	3
1	18	29.0739	-12.6958	35.5	3.14159	0.785398	2.72987	6	6
1	19	26.3312	-17.6958	32.75	3.14159	0.785398	2.54987	7	7
1	20	22.7377	-22.124	35.5	3.14159	0.785398	2.36987	10	10
1	21	18.4095	-25.8373	32.75	3.14159	0.785398	2.18988	11	11
1	22	13.4865	-28.7157	35.5	3.14159	0.785398	2.00987	14	14
1	23	8.12762	-30.6662	32.75	3.14159	0.785398	1.82987	15	15
1	24	2.50612	-31.6259	35.5	3.14159	0.785398	1.64987	18	18
1	25	-3.19632	-31.5636	32.75	3.14159	0.785398	1.46987	19	19
1	26	-8.79568	-30.4813	35.5	3.14159	0.785398	1.28987	22	22
1	27	-14.1105	-28.4142	32.75	3.14159	0.785398	1.10987	23	23
1	28	-18.9694	-25.4291	35.5	3.14159	0.785398	0.929877	26	26
1	29	-23.2154	-21.6222	32.75	3.14159	0.785398	0.749881	27	27
1	30	-26.7116	-17.1163	35.5	3.14159	0.785398	0.569867	30	30
1	31	-29.3443	-12.0577	32.75	3.14159	0.785398	0.389872	31	31
1	32	32.1819	-1.66588	41	3.14159	0.785398	3.08987	4	4
1	33	30.8771	-7.28566	38.25	3.14159	0.785398	2.90987	5	5
1	34	29.5321	-12.8959	41	3.14159	0.785398	2.72987	8	8
1	35	26.3312	-17.6958	38.25	3.14159	0.785398	2.54987	9	9
1	36	23.0961	-22.4727	41	3.14159	0.785398	2.36987	12	12
1	37	18.4095	-25.8373	38.25	3.14159	0.785398	2.18988	13	13
1	38	13.699	-29.1683	41	3.14159	0.785398	2.00987	16	16
1	39	8.12762	-30.6662	38.25	3.14159	0.785398	1.82987	17	17
1	40	2.54561	-32.1243	41	3.14159	0.785398	1.64987	20	20
1	41	-3.19632	-31.5636	38.25	3.14159	0.785398	1.46987	21	21
1	42	-8.9343	-30.9617	41	3.14159	0.785398	1.28987	24	24
1	43	-14.1105	-28.4142	38.25	3.14159	0.785398	1.10987	25	25
1	44	-19.2684	-25.8298	41	3.14159	0.785398	0.929877	28	28
1	45	-23.2154	-21.6222	38.25	3.14159	0.785398	0.749881	29	29
1	46	-27.1326	-17.386	41	3.14159	0.785398	0.569867	32	32
1	47	-29.3443	-12.0577	38.25	3.14159	0.785398	0.389872	33	33
1	48	32.1819	-1.66588	46.5	3.14159	0.785398	3.08987	6	6
1	49	31.3637	-7.40049	43.75	3.14159	0.785398	2.90987	7	7
1	50	29.5321	-12.8959	46.5	3.14159	0.785398	2.72987	10	10
1	51	26.7462	-17.9747	43.75	3.14159	0.785398	2.54987	11	11
1	52	23.0961	-22.4727	46.5	3.14159	0.785398	2.36987	14	14
1	53	18.6997	-26.2445	43.75	3.14159	0.785398	2.18988	15	15
1	54	13.699	-29.1683	46.5	3.14159	0.785398	2.00987	18	18
1	55	8.25572	-31.1495	43.75	3.14159	0.785398	1.82987	19	19
1	56	2.54561	-32.1243	46.5	3.14159	0.785398	1.64987	22	22
1	57	-3.24669	-32.061	43.75	3.14159	0.785398	1.46987	23	23
1	58	-8.9343	-30.9617	46.5	3.14159	0.785398	1.28987	26	26
1	59	-14.3329	-28.8621	43.75	3.14159	0.785398	1.10987	27	27
1	60	-19.2684	-25.8298	46.5	3.14159	0.785398	0.929877	30	30
1	61	-23.5813	-21.963	43.75	3.14159	0.785398	0.749881	31	31
1	62	-27.1326	-17.386	46.5	3.14159	0.785398	0.569867	34	34
1	63	-29.8068	-12.2477	43.75	3.14159	0.785398	0.389872	35	35
1	64	32.1819	-1.66588	52	3.14159	0.785398	3.08987	8	8
1	65	31.3637	-7.40049	49.25	3.14159	0.785398	2.90987	9	9
1	66	29.5321	-12.8959	52	3.14159	0.785398	2.72987	12	12
1	67	26.7462	-17.9747	49.25	3.14159	0.785398	2.54987	13	13
1	68	23.0961	-22.4727	52	3.14159	0.785398	2.36987	16	16
1	69	18.6997	-26.2445	49.25	3.14159	0.785398	2.18988	17	17
1	70	13.699	-29.1683	52	3.14159	0.785398	2.00987	20	20
1	71	8.25572	-31.1495	49.25	3.14159	0.785398	1.82987	21	21
1	72	2.54561	-32.1243	52	3.14159	0.785398	1.64987	24	24
1	73	-3.24669	-32.061	49.25	3.14159	0.785398	1.46987	25	25
1	74	-8.9343	-30.9617	52	3.14159	0.785398	1.28987	28	28
1	75	-14.3329	-28.8621	49.25	3.14159	0.785398	1.10987	29	29
1	76	-19.2684	-25.8298	52	3.14159	0.785398	0.929877	32	32
1	77	-23.5813	-21.963	49.25	3.14159	0.785398	0.749881	33	33
1	78	-27.1326	-17.386	52	3.14159	0.785398	0.569867	36	36
1	79	-29.8068	-12.2477	49.25	3.14159	0.785398	0.389872	37	37
1	80	32.1819	-1.66588	57.5	3.14159	0.785398	3.08987	10	10
1	81	31.3637	-7.40049	54.75	3.14159	0.785398	2.90987	11	11
1	82	29.5321	-12.8959	57.5	3.14159	0.785398	2.72987	14	14
1	83	26.7462	-17.9747	54.75	3.14159	0.785398	2.54987	15	15
1	84	23.0961	-22.4727	57.5	3.14159	0.785398	2.36987	18	18
1	85	18.6997	-26.2445	54.75	3.14159	0.785398	2.18988	19	19
1	86	13.699	-29.1683	57.5	3.14159	0.785398	2.00987	22	22
1	87	8.25572	-31.1495	54.75	3.14159	0.785398	1.82987	23	23
1	88	2.54561	-32.1243	57.5	3.14159	0.785398	1.64987	26	26
1	89	-3.24669	-32.061	54.75	3.14159	0.785398	1.46987	27	27
1	90	-8.9343	-30.9617	57.5	3.14159	0.785398	1.28987	30	30
1	91	-14.3329	-28.8621	54.75	3.14159	0.785398	1.10987	31	31
1	92	-19.2684	-25.8298	57.5	3.14159	0.785398	0.929877	34	34
1	93	-23.5813	-21.963	54.75	3.14159	0.785398	0.749881	35	35
1	94	-27.1326	-17.386	57.5	3.14159	0.785398	0.569867	38	38
1	95	-29.8068	-12.2477	54.75	3.14159	0.785398	0.389872	39	39
1	96	32.1819	-1.66588	63	3.14159	0.785398	3.08987	12	12
1	97	31.3637	-7.40049	60.25	3.14159	0.785398	2.90987	13	13
1	98	29.5321	-12.8959	63	3.14159	0.785398	2.72987	16	16
1	99	26.7462	-17.9747	60.25	3.14159	0.785398	2.54987	17	17
1	100	23.0961	-22.4727	63	3.14159	0.785398	2.36987	20	20
1	101	18.6997	-26.2445	60.25	3.14159	0.785398	2.18988	21	21
1	102	13.699	-29.1683	63	3.14159	0.785398	2.00987	24	24
1	103	8.25572	-31.1495	60.25	3.14159	0.785398	1.82987	25	25
1	104	2.54561	-32.1243	63	3.14159	0.785398	1.64987	28	28
1	105	-3.24669	-32.061	60.25	3.14159	0.785398	1.46987	29	29
1	106	-8.9343	-30.9617	63	3.14159	0.785398	1.28987	32	32
1	107	-14.3329	-28.8621	60.25	3.14159	0.785398	1.10987	33	33
1	108	-19.2684	-25.8298	63	3.14159	0.785398	0.929877	36	36
1	109	-23.5813	-21.963	60.25	3.14159	0.785398	0.749881	37	37
1	110	-27.1326	-17.386	63	3.14159	0.785398	0.569867	40	40
1	111	-29.8068	-12.2477	60.25	3.14159	0.785398	0.389872	41	41
1	112	32.1819	-1.66588	68.5	3.14159	0.785398	3.08987	14	14
1	113	31.3637	-7.40049	65.75	3.14159	0.785398	2.90987	15	15
1	114	29.5321	-12.8959	68.5	3.14159	0.785398	2.72987	18	18
1	115	26.7462	-17.9747	65.75	3.14159	0.785398	2.54987	19	19
1	116	23.0961	-22.4727	68.5	3.14159	0.785398	2.36987	22	22
1	117	18.6997	-26.2445	65.75	3.14159	0.785398	2.18988	23	23
1	118	13.699	-29.1683	68.5	3.14159	0.785398	2.00987	26	26
1	119	8.25572	-31.1495	65.75	3.14159	0.785398	1.82987	27	27
1	120	2.54561	-32.1243	68.5	3.14159	0.785398	1.64987	30	30
1	121	-3.24669	-32.061	65.75	3.14159	0.785398	1.46987	31	31
1	122	-8.9343	-30.9617	68.5	3.14159	0.785398	1.28987	34	34
1	123	-14.3329	-28.8621	65.75	3.14159	0.785398	1.10987	35	35
1	124	-19.2684	-25.8298	68.5	3.14159	0.785398	0.929877	38	38
1	125	-23.5813	-21.963	65.75	3.14159	0.785398	0.749881	39	39
1	126	-27.1326	-17.386	68.5	3.14159	0.785398	0.569867	42	42
1	127	-29.8068	-12.2477	65.75	3.14159	0.785398	0.389872	43	43
1	128	31.6826	-1.64003	74	3.14159	0.785398	3.08987	16	16
1	129	31.3637	-7.40049	71.25	3.14159	0.785398	2.90987	17	17
1	130	29.0739	-12.6958	74	3.14159	0.785398	2.72987	20	20
1	131	26.7462	-17.9747	71.25	3.14159	0.785398	2.54987	21	21
1	132	22.7377	-22.124	74	3.14159	0.785398	2.36987	24	24
1	133	18.6997	-26.2445	71.25	3.14159	0.785398	2.18988	25	25
1	134	13.4865	-28.7157	74	3.14159	0.785398	2.00987	28	28
1	135	8.25572	-31.1495	71.25	3.14159	0.785398	1.82987	29	29
1	136	2.50612	-31.6259	74	3.14159	0.785398	1.64987	32	32
1	137	-3.24669	-32.061	71.25	3.14159	0.785398	1.46987	33	33
1	138	-8.79568	-30.4813	74	3.14159	0.785398	1.28987	36	36
1	139	-14.3329	-28.8621	71.25	3.14159	0.785398	1.10987	37	37
1	140	-18.9694	-25.4291	74	3.14159	0.785398	0.929877	40	40
1	141	-23.5813	-21.963	71.25	3.14159	0.785398	0.749881	41	41
1	142	-26.7116	-17.1163	74	3.14159	0.785398	0.569867	44	44
1	143	-29.8068	-12.2477	71.25	3.14159	0.785398	0.389872	45	45
1	144	31.6826	-1.64003	79.5	3.14159	0.785398	3.08987	18	18
1	145	30.8771	-7.28566	76.75	3.14159	0.785398	2.90987	19	19
1	146	29.0739	-12.6958	79.5	3.14159	0.785398	2.72987	22	22
1	147	26.3312	-17.6958	76.75	3.14159	0.785398	2.54987	23	23
1	148	22.7377	-22.124	79.5	3.14159	0.785398	2.36987	26	26
1	149	18.4095	-25.8373	76.75	3.14159	0.785398	2.18988	27	27
1	150	13.4865	-28.7157	79.5	3.14159	0.785398	2.00987	30	30
1	151	8.12762	-30.6662	76.75	3.14159	0.785398	1.82987	31	31
1	152	2.50612	-31.6259	79.5	3.14159	0.785398	1.64987	34	34
1	153	-3.19632	-31.5636	76.75	3.14159	0.785398	1.46987	35	35
1	154	-8.79568	-30.4813	79.5	3.14159	0.785398	1.28987	38	38
1	155	-14.1105	-28.4142	76.75	3.14159	0.785398	1.10987	39	39
1	156	-18.9694	-25.4291	79.5	3.14159	0.785398	0.929877	42	42
1	157	-23.2154	-21.6222	76.75	3.14159	0.785398	0.749881	43	43
1	158	-26.7116	-17.1163	79.5	3.14159	0.785398	0.569867	46	46
1	159	-29.3443	-12.0577	76.75	3.14159	0.785398	0.389872	47	47
1	160	31.6826	-1.64003	85	3.14159	0.785398	3.08987	20	20
1	161	30.8771	-7.28566	82.25	3.14159	0.785398	2.90987	21	21
1	162	29.0739	-12.6958	85	3.14159	0.785398	2.72987	24	24
1	163	26.3312	-17.6958	82.25	3.14159	0.785398	2.54987	25	25
1	164	22.7377	-22.124	85	3.14159	0.785398	2.36987	28	28
1	165	18.4095	-25.8373	82.25	3.14159	0.785398	2.18988	29	29
1	166	13.4865	-28.7157	85	3.14159	0.785398	2.00987	32	32
1	167	8.12762	-30.6662	82.25	3.14159	0.785398	1.82987	33	33
1	168	2.50612	-31.6259	85	3.14159	0.785398	1.64987	36	36
1	169	-3.19632	-31.5636	82.25	3.14159	0.785398	1.46987	37	37
1	170	-8.79568	-30.4813	85	3.14159	0.785398	1.28987	40	40
1	171	-14.1105	-28.4142	82.25	3.14159	0.785398	1.10987	41	41
1	172	-18.9694	-25.4291	85	3.14159	0.785398	0.929877	44	44
1	173	-23.2154	-21.6222	82.25	3.14159	0.785398	0.749881	45	45
1	174	-26.7116	-17.1163	85	3.14159	0.785398	0.569867	48	48
1	175	-29.3443	-12.0577	82.25	3.14159	0.785398	0.389872	49	49
1	176	31.6826	-1.64003	90.5	3.14159	0.785398	3.08987	22	22
1	177	30.8771	-7.28566	87.75	3.14159	0.785398	2.90987	23	23
1	178	29.0739	-12.6958	90.5	3.14159	0.785398	2.72987	26	26
1	179	26.3312	-17.6958	87.75	3.14159	0.785398	2.54987	27	27
1	180	22.7377	-22.124	90.5	3.14159	0.785398	2.36987	30	30
1	181	18.4095	-25.8373	87.75	3.14159	0.785398	2.18988	31	31
1	182	13.4865	-28.7157	90.5	3.14159	0.785398	2.00987	34	34
1	183	8.12762	-30.6662	87.75	3.14159	0.785398	1.82987	35	35
1	184	2.50612	-31.6259	90.5	3.14159	0.785398	1.64987	38	38
1	185	-3.19632	-31.5636	87.75	3.14159	0.785398	1.46987	39	39
1	186	-8.79568	-30.4813	90.5	3.14159	0.785398	1.28987	42	42
1	187	-14.1105	-28.4142	87.75	3.14159	0.785398	1.10987	43	43
1	188	-18.9694	-25.4291	90.5	3.14159	0.785398	0.929877	46	46
