reference_id,x,y,z
(),(mm),(mm),(mm)
-101,380.389,83.1221,-1207.08
-102,362.149,79.6741,-1096.9
-103,-386.211,-52.9824,-1205.03
-104,-368.253,-49.7904,-1096.3
-105,-37.2094,-370.477,-1166.11
-106,95.5,-359.637,-1165.4
-1,-360.895,-75.3044,-421.03
-2,-360.208,-75.994,-1030.92
-3,-358.6,-75.331,-1149.74
-4,363.334,55.7183,-1141.74
-5,363.471,53.728,-1032.74
-6,362.583,55.5175,-408.346
-7,-348.78,-131.062,-1146.71
-8,372.959,-2.5401,-1183.45
-9,158.586,-338.285,-1296.74
-10,95.3921,-361.264,-1293.89
-11,-164.748,-335.433,-1296.93
-201,27.9171,-355.397,-1198.44
-202,378.535,92.7325,-374.464
-203,-387.914,-46.393,-371.095
